headcount,eventtype,eventcategory,budget,venuecategory,budgetallocation,venue
150,codemeetupscommunity,meetupscommunity,18000,auditorium,"venue:32,food:27,av:10,marketing:10,logistics:26",Virtusa
145,codecompetitionshackathons,competitionshackathons,501000,openspace,"venue:20,speakers:13,prizes:33,food:17,av:13,marketing:4",Colombo Innovation Tower
30,aiconferencesexpos,conferencesexpos,55000,coworkingspace,"venue:35,speakers:25,food:12,av:16,marketing:10,logistics:3",Gamers HQ
503,codecareernetworking,careernetworking,1401000,exhibitionhall,"venue:33,speakers:21,food:19,av:17,marketing:18",BMICH
69,designworkshopstraining,workshopstraining,178000,studio,"venue:24,speakers:28,equipment:16,food:11,av:13,marketing:7",AOD
74,aiworkshopstraining,workshopstraining,140000,studio,"venue:25,speakers:27,equipment:18,food:8,av:15,marketing:3",AOD
557,codecareernetworking,careernetworking,1010000,exhibitionhall,"venue:33,speakers:23,food:23,av:15,marketing:16",BMICH
230,codetalkspanels,talkspanels,85000,auditorium,"venue:31,speakers:21,food:22,av:12,marketing:15",Virtusa
694,designmeetupscommunity,meetupscommunity,3954000,exhibitionhall,"venue:31,food:24,av:12,marketing:7,logistics:23",Shangri-La
268,designconferencesexpos,conferencesexpos,219000,auditorium,"venue:38,speakers:24,food:8,av:15,marketing:7,logistics:4",NSBM
159,codetalkspanels,talkspanels,107000,auditorium,"venue:32,speakers:21,food:17,av:13,marketing:17",UCSC
446,designmeetupscommunity,meetupscommunity,1337000,openspace,"venue:31,food:26,av:11,marketing:8,logistics:25",Galadari
136,designmeetupscommunity,meetupscommunity,265000,coworkingspace,"venue:33,food:27,av:13,marketing:10,logistics:26",Trace Expert City
247,aitalkspanels,talkspanels,798000,openspace,"venue:32,speakers:17,food:22,av:17,marketing:14",Galadari
483,codecareernetworking,careernetworking,637000,auditorium,"venue:33,speakers:22,food:19,av:17,marketing:16",NSBM
386,codecareernetworking,careernetworking,1488000,openspace,"venue:30,speakers:18,food:22,av:17,marketing:15",Galadari
355,designcompetitionshackathons,competitionshackathons,927000,openspace,"venue:22,speakers:11,prizes:30,food:17,av:14,marketing:6",Galadari
339,codecompetitionshackathons,competitionshackathons,333000,auditorium,"venue:22,speakers:8,prizes:31,food:20,av:15,marketing:3",SLIIT
485,techcompetitionshackathons,competitionshackathons,1426000,openspace,"venue:20,speakers:7,prizes:30,food:23,av:17,marketing:2",Galadari
159,aiconferencesexpos,conferencesexpos,527000,coworkingspace,"venue:35,speakers:28,food:7,av:16,marketing:13,logistics:6",Hatch
142,codetalkspanels,talkspanels,547000,openspace,"venue:27,speakers:20,food:18,av:15,marketing:14",Colombo Innovation Tower
149,designcompetitionshackathons,competitionshackathons,52000,auditorium,"venue:21,speakers:7,prizes:29,food:20,av:14,marketing:5",UCSC
180,designcompetitionshackathons,competitionshackathons,74000,auditorium,"venue:21,speakers:12,prizes:30,food:20,av:12,marketing:4",UCSC
399,designtalkspanels,talkspanels,2430000,exhibitionhall,"venue:30,speakers:18,food:21,av:12,marketing:15",Shangri-La
135,designmeetupscommunity,meetupscommunity,443000,coworkingspace,"venue:29,food:24,av:13,marketing:10,logistics:28",Hatch
95,techmeetupscommunity,meetupscommunity,267000,studio,"venue:30,food:24,av:13,marketing:10,logistics:22",AOD
178,aicompetitionshackathons,competitionshackathons,621000,coworkingspace,"venue:19,speakers:8,prizes:29,food:21,av:14,marketing:4",Hatch
77,designworkshopstraining,workshopstraining,193000,studio,"venue:27,speakers:31,equipment:12,food:13,av:17,marketing:7",AOD
106,techcareernetworking,careernetworking,305000,openspace,"venue:27,speakers:21,food:20,av:14,marketing:18",Colombo Innovation Tower
531,designcompetitionshackathons,competitionshackathons,1444000,exhibitionhall,"venue:18,speakers:13,prizes:33,food:21,av:12,marketing:2",BMICH
77,designtalkspanels,talkspanels,30000,auditorium,"venue:30,speakers:19,food:20,av:13,marketing:15",UCSC
158,aitalkspanels,talkspanels,528000,coworkingspace,"venue:29,speakers:22,food:20,av:16,marketing:13",Hatch
166,techcompetitionshackathons,competitionshackathons,126000,auditorium,"venue:17,speakers:12,prizes:28,food:19,av:14,marketing:8",UCSC
892,aiconferencesexpos,conferencesexpos,1504000,exhibitionhall,"venue:38,speakers:28,food:12,av:15,marketing:8,logistics:7",BMICH
1068,techmeetupscommunity,meetupscommunity,4515000,openspace,"venue:29,food:26,av:10,marketing:7,logistics:25",Nelum Pokuna
598,designmeetupscommunity,meetupscommunity,803000,auditorium,"venue:27,food:26,av:10,marketing:10,logistics:27",NSBM
114,designcompetitionshackathons,competitionshackathons,213000,studio,"venue:17,speakers:9,prizes:27,food:20,av:16,marketing:5",AOD
163,codemeetupscommunity,meetupscommunity,16000,auditorium,"venue:33,food:24,av:11,marketing:8,logistics:24",Virtusa
1188,designmeetupscommunity,meetupscommunity,5934000,openspace,"venue:30,food:22,av:8,marketing:7,logistics:27",Nelum Pokuna
100,aitalkspanels,talkspanels,215000,studio,"venue:28,speakers:19,food:17,av:18,marketing:18",AOD
146,aimeetupscommunity,meetupscommunity,451000,coworkingspace,"venue:27,food:24,av:12,marketing:12,logistics:24",Hatch
60,aitalkspanels,talkspanels,70000,coworkingspace,"venue:27,speakers:17,food:18,av:13,marketing:18",Gamers HQ
193,techcareernetworking,careernetworking,45000,auditorium,"venue:31,speakers:20,food:18,av:16,marketing:16",Virtusa
312,codecareernetworking,careernetworking,867000,openspace,"venue:29,speakers:17,food:20,av:17,marketing:14",Galadari
239,techconferencesexpos,conferencesexpos,491000,coworkingspace,"venue:36,speakers:27,food:12,av:14,marketing:7,logistics:5",Trace Expert City
1156,techtalkspanels,talkspanels,1887000,exhibitionhall,"venue:30,speakers:23,food:20,av:16,marketing:16",BMICH
234,designmeetupscommunity,meetupscommunity,291000,auditorium,"venue:33,food:26,av:10,marketing:8,logistics:28",NSBM
83,designtalkspanels,talkspanels,169000,studio,"venue:29,speakers:19,food:17,av:12,marketing:18",AOD
628,aitalkspanels,talkspanels,3142000,exhibitionhall,"venue:28,speakers:20,food:19,av:12,marketing:16",Shangri-La
741,codeworkshopstraining,workshopstraining,1475000,exhibitionhall,"venue:24,speakers:31,equipment:12,food:12,av:12,marketing:7",BMICH
126,techconferencesexpos,conferencesexpos,225000,coworkingspace,"venue:32,speakers:26,food:13,av:15,marketing:12,logistics:4",Trace Expert City
441,aimeetupscommunity,meetupscommunity,452000,auditorium,"venue:28,food:24,av:9,marketing:12,logistics:27",NSBM
139,aicompetitionshackathons,competitionshackathons,342000,coworkingspace,"venue:17,speakers:9,prizes:32,food:20,av:15,marketing:3",Hatch
96,designcareernetworking,careernetworking,126000,coworkingspace,"venue:27,speakers:17,food:18,av:15,marketing:14",Gamers HQ
481,techworkshopstraining,workshopstraining,1797000,openspace,"venue:27,speakers:29,equipment:17,food:11,av:16,marketing:7",Galadari
83,designcareernetworking,careernetworking,89000,coworkingspace,"venue:31,speakers:22,food:23,av:17,marketing:16",Gamers HQ
1951,techworkshopstraining,workshopstraining,2272000,openspace,"venue:24,speakers:30,equipment:15,food:12,av:14,marketing:8",Galle Face
649,techtalkspanels,talkspanels,1838000,exhibitionhall,"venue:28,speakers:18,food:23,av:14,marketing:15",BMICH
323,aitalkspanels,talkspanels,2166000,exhibitionhall,"venue:29,speakers:22,food:19,av:14,marketing:14",Shangri-La
123,aitalkspanels,talkspanels,86000,auditorium,"venue:32,speakers:17,food:17,av:17,marketing:12",UCSC
1463,techworkshopstraining,workshopstraining,4230000,exhibitionhall,"venue:24,speakers:33,equipment:12,food:7,av:18,marketing:8",BMICH
134,aitalkspanels,talkspanels,41000,auditorium,"venue:29,speakers:23,food:19,av:13,marketing:12",UCSC
56,techworkshopstraining,workshopstraining,92000,studio,"venue:25,speakers:33,equipment:13,food:10,av:18,marketing:7",AOD
218,designconferencesexpos,conferencesexpos,824000,openspace,"venue:32,speakers:23,food:12,av:17,marketing:8,logistics:6",Galadari
108,aiworkshopstraining,workshopstraining,268000,studio,"venue:25,speakers:28,equipment:14,food:7,av:17,marketing:2",AOD
223,designcareernetworking,careernetworking,458000,coworkingspace,"venue:32,speakers:19,food:17,av:17,marketing:16",Trace Expert City
68,techworkshopstraining,workshopstraining,130000,coworkingspace,"venue:27,speakers:29,equipment:17,food:12,av:13,marketing:5",Gamers HQ
1468,designmeetupscommunity,meetupscommunity,1261000,openspace,"venue:27,food:24,av:11,marketing:10,logistics:28",Galle Face
222,designworkshopstraining,workshopstraining,689000,openspace,"venue:25,speakers:28,equipment:13,food:8,av:17,marketing:2",Galadari
958,techmeetupscommunity,meetupscommunity,3149000,openspace,"venue:32,food:22,av:12,marketing:10,logistics:25",Nelum Pokuna
63,techtalkspanels,talkspanels,83000,coworkingspace,"venue:27,speakers:23,food:17,av:13,marketing:17",Gamers HQ
158,codetalkspanels,talkspanels,292000,coworkingspace,"venue:27,speakers:21,food:21,av:17,marketing:17",Trace Expert City
437,techcareernetworking,careernetworking,2892000,exhibitionhall,"venue:32,speakers:17,food:17,av:17,marketing:15",Shangri-La
358,codemeetupscommunity,meetupscommunity,2121000,exhibitionhall,"venue:32,food:26,av:9,marketing:13,logistics:22",Shangri-La
167,codetalkspanels,talkspanels,173000,auditorium,"venue:29,speakers:17,food:21,av:15,marketing:17",SLIIT
159,aitalkspanels,talkspanels,50000,auditorium,"venue:33,speakers:20,food:19,av:12,marketing:15",UCSC
1040,designcareernetworking,careernetworking,2855000,exhibitionhall,"venue:31,speakers:23,food:22,av:12,marketing:18",BMICH
983,codemeetupscommunity,meetupscommunity,4860000,openspace,"venue:27,food:22,av:9,marketing:11,logistics:28",Nelum Pokuna
207,aitalkspanels,talkspanels,14000,auditorium,"venue:29,speakers:17,food:18,av:18,marketing:14",Virtusa
120,aiworkshopstraining,workshopstraining,395000,openspace,"venue:27,speakers:31,equipment:16,food:9,av:14,marketing:7",Colombo Innovation Tower
56,techcompetitionshackathons,competitionshackathons,34000,auditorium,"venue:21,speakers:9,prizes:27,food:22,av:17,marketing:7",UCSC
58,designworkshopstraining,workshopstraining,192000,openspace,"venue:27,speakers:32,equipment:18,food:9,av:14,marketing:5",Colombo Innovation Tower
620,techworkshopstraining,workshopstraining,667000,openspace,"venue:25,speakers:33,equipment:17,food:12,av:18,marketing:4",Galle Face
153,techworkshopstraining,workshopstraining,335000,coworkingspace,"venue:22,speakers:29,equipment:15,food:13,av:18,marketing:8",Hatch
231,techtalkspanels,talkspanels,224000,auditorium,"venue:29,speakers:18,food:17,av:16,marketing:14",NSBM
136,techmeetupscommunity,meetupscommunity,157000,auditorium,"venue:33,food:26,av:8,marketing:9,logistics:27",SLIIT
618,techcompetitionshackathons,competitionshackathons,2709000,openspace,"venue:19,speakers:12,prizes:33,food:19,av:18,marketing:2",Nelum Pokuna
263,aitalkspanels,talkspanels,334000,auditorium,"venue:28,speakers:17,food:18,av:17,marketing:15",SLIIT
48,designcareernetworking,careernetworking,134000,studio,"venue:27,speakers:21,food:20,av:15,marketing:15",AOD
116,aiconferencesexpos,conferencesexpos,37000,auditorium,"venue:32,speakers:22,food:9,av:17,marketing:7,logistics:8",UCSC
233,codetalkspanels,talkspanels,84000,auditorium,"venue:32,speakers:17,food:17,av:12,marketing:18",Virtusa
1590,techcompetitionshackathons,competitionshackathons,1731000,openspace,"venue:19,speakers:9,prizes:31,food:20,av:18,marketing:8",Galle Face
924,techconferencesexpos,conferencesexpos,4431000,openspace,"venue:36,speakers:28,food:12,av:16,marketing:12,logistics:5",Nelum Pokuna
163,techcareernetworking,careernetworking,92000,auditorium,"venue:31,speakers:21,food:23,av:15,marketing:15",UCSC
1184,designconferencesexpos,conferencesexpos,4014000,openspace,"venue:32,speakers:25,food:8,av:17,marketing:10,logistics:8",Nelum Pokuna
481,designworkshopstraining,workshopstraining,414000,auditorium,"venue:27,speakers:30,equipment:18,food:8,av:16,marketing:8",NSBM
1356,codeconferencesexpos,conferencesexpos,2578000,exhibitionhall,"venue:33,speakers:24,food:12,av:15,marketing:11,logistics:2",BMICH
151,techworkshopstraining,workshopstraining,120000,auditorium,"venue:23,speakers:28,equipment:16,food:11,av:16,marketing:7",UCSC
455,aicareernetworking,careernetworking,2982000,exhibitionhall,"venue:28,speakers:17,food:21,av:12,marketing:18",Shangri-La
1263,codecompetitionshackathons,competitionshackathons,3238000,exhibitionhall,"venue:21,speakers:9,prizes:30,food:17,av:13,marketing:2",BMICH
203,aicareernetworking,careernetworking,256000,coworkingspace,"venue:29,speakers:20,food:22,av:12,marketing:13",Trace Expert City
287,codemeetupscommunity,meetupscommunity,384000,auditorium,"venue:33,food:25,av:13,marketing:10,logistics:23",NSBM
116,codetalkspanels,talkspanels,364000,coworkingspace,"venue:29,speakers:17,food:21,av:14,marketing:17",Hatch
422,designcompetitionshackathons,competitionshackathons,2730000,exhibitionhall,"venue:21,speakers:9,prizes:33,food:17,av:17,marketing:2",Shangri-La
115,designcareernetworking,careernetworking,216000,studio,"venue:29,speakers:18,food:17,av:18,marketing:17",AOD
166,techconferencesexpos,conferencesexpos,46000,auditorium,"venue:35,speakers:23,food:8,av:15,marketing:13,logistics:7",Virtusa
96,aicareernetworking,careernetworking,132000,coworkingspace,"venue:30,speakers:17,food:20,av:13,marketing:12",Gamers HQ
78,designworkshopstraining,workshopstraining,170000,coworkingspace,"venue:23,speakers:30,equipment:16,food:9,av:13,marketing:6",Hatch
164,codetalkspanels,talkspanels,166000,auditorium,"venue:31,speakers:21,food:17,av:12,marketing:13",SLIIT
34,techconferencesexpos,conferencesexpos,64000,coworkingspace,"venue:33,speakers:23,food:12,av:17,marketing:13,logistics:2",Gamers HQ
58,codecompetitionshackathons,competitionshackathons,156000,studio,"venue:17,speakers:11,prizes:31,food:19,av:13,marketing:7",AOD
424,techcareernetworking,careernetworking,2609000,exhibitionhall,"venue:33,speakers:23,food:23,av:15,marketing:16",Shangri-La
221,designworkshopstraining,workshopstraining,870000,openspace,"venue:23,speakers:30,equipment:12,food:9,av:13,marketing:3",Galadari
1847,techconferencesexpos,conferencesexpos,2092000,openspace,"venue:34,speakers:28,food:8,av:12,marketing:7,logistics:8",Galle Face
272,techcompetitionshackathons,competitionshackathons,269000,auditorium,"venue:19,speakers:7,prizes:32,food:17,av:12,marketing:5",SLIIT
138,aiconferencesexpos,conferencesexpos,37000,auditorium,"venue:35,speakers:24,food:9,av:15,marketing:13,logistics:4",Virtusa
443,techtalkspanels,talkspanels,1190000,openspace,"venue:31,speakers:21,food:23,av:15,marketing:13",Galadari
205,designtalkspanels,talkspanels,272000,auditorium,"venue:30,speakers:23,food:17,av:16,marketing:12",SLIIT
122,aicompetitionshackathons,competitionshackathons,346000,openspace,"venue:20,speakers:11,prizes:28,food:23,av:14,marketing:7",Colombo Innovation Tower
994,designworkshopstraining,workshopstraining,654000,openspace,"venue:24,speakers:33,equipment:18,food:10,av:15,marketing:3",Galle Face
138,codecompetitionshackathons,competitionshackathons,105000,auditorium,"venue:18,speakers:12,prizes:32,food:18,av:12,marketing:7",UCSC
62,codecompetitionshackathons,competitionshackathons,34000,auditorium,"venue:21,speakers:7,prizes:30,food:20,av:17,marketing:4",UCSC
90,aiconferencesexpos,conferencesexpos,58000,auditorium,"venue:33,speakers:28,food:7,av:15,marketing:11,logistics:3",UCSC
163,techconferencesexpos,conferencesexpos,1000,auditorium,"venue:32,speakers:27,food:10,av:15,marketing:13,logistics:6",Virtusa
216,codecareernetworking,careernetworking,694000,openspace,"venue:29,speakers:19,food:23,av:12,marketing:15",Galadari
1583,designmeetupscommunity,meetupscommunity,1213000,openspace,"venue:27,food:27,av:9,marketing:12,logistics:28",Galle Face
186,codeconferencesexpos,conferencesexpos,41000,auditorium,"venue:33,speakers:27,food:11,av:12,marketing:9,logistics:8",Virtusa
305,designtalkspanels,talkspanels,401000,auditorium,"venue:29,speakers:23,food:19,av:17,marketing:16",NSBM
146,codecareernetworking,careernetworking,501000,coworkingspace,"venue:29,speakers:17,food:18,av:18,marketing:16",Hatch
669,aiworkshopstraining,workshopstraining,4392000,exhibitionhall,"venue:25,speakers:28,equipment:12,food:13,av:13,marketing:4",Shangri-La
335,aiconferencesexpos,conferencesexpos,1610000,exhibitionhall,"venue:34,speakers:28,food:12,av:12,marketing:11,logistics:5",Shangri-La
408,aitalkspanels,talkspanels,2225000,exhibitionhall,"venue:30,speakers:17,food:17,av:14,marketing:13",Shangri-La
102,techcareernetworking,careernetworking,46000,auditorium,"venue:32,speakers:18,food:22,av:16,marketing:13",UCSC
52,techcareernetworking,careernetworking,132000,studio,"venue:30,speakers:23,food:23,av:13,marketing:14",AOD
395,codemeetupscommunity,meetupscommunity,375000,auditorium,"venue:28,food:28,av:12,marketing:9,logistics:23",NSBM
517,codecompetitionshackathons,competitionshackathons,265000,openspace,"venue:17,speakers:13,prizes:31,food:17,av:15,marketing:6",Galle Face
133,codeconferencesexpos,conferencesexpos,66000,auditorium,"venue:32,speakers:27,food:9,av:17,marketing:8,logistics:8",UCSC
353,designworkshopstraining,workshopstraining,1998000,exhibitionhall,"venue:25,speakers:32,equipment:14,food:7,av:12,marketing:6",Shangri-La
180,aiconferencesexpos,conferencesexpos,68000,auditorium,"venue:34,speakers:25,food:10,av:18,marketing:12,logistics:5",UCSC
96,techworkshopstraining,workshopstraining,256000,studio,"venue:24,speakers:28,equipment:12,food:8,av:13,marketing:5",AOD
59,aimeetupscommunity,meetupscommunity,124000,studio,"venue:27,food:25,av:9,marketing:11,logistics:26",AOD
62,designconferencesexpos,conferencesexpos,20000,auditorium,"venue:33,speakers:24,food:8,av:13,marketing:8,logistics:2",UCSC
282,codeconferencesexpos,conferencesexpos,420000,auditorium,"venue:34,speakers:27,food:11,av:18,marketing:8,logistics:5",SLIIT
77,techtalkspanels,talkspanels,133000,coworkingspace,"venue:28,speakers:22,food:20,av:16,marketing:18",Gamers HQ
59,designmeetupscommunity,meetupscommunity,101000,coworkingspace,"venue:29,food:23,av:13,marketing:13,logistics:27",Gamers HQ
67,techmeetupscommunity,meetupscommunity,209000,coworkingspace,"venue:31,food:25,av:11,marketing:11,logistics:23",Hatch
474,designcompetitionshackathons,competitionshackathons,463000,auditorium,"venue:23,speakers:13,prizes:27,food:23,av:17,marketing:3",NSBM
992,aitalkspanels,talkspanels,4699000,openspace,"venue:32,speakers:20,food:17,av:16,marketing:13",Nelum Pokuna
917,techmeetupscommunity,meetupscommunity,4192000,openspace,"venue:30,food:25,av:11,marketing:11,logistics:22",Nelum Pokuna
119,aiworkshopstraining,workshopstraining,312000,studio,"venue:28,speakers:30,equipment:13,food:13,av:13,marketing:6",AOD
171,aicareernetworking,careernetworking,27000,auditorium,"venue:27,speakers:19,food:18,av:16,marketing:13",Virtusa
885,codeconferencesexpos,conferencesexpos,1766000,exhibitionhall,"venue:36,speakers:23,food:13,av:12,marketing:12,logistics:7",BMICH
125,aimeetupscommunity,meetupscommunity,22000,auditorium,"venue:27,food:24,av:8,marketing:8,logistics:25",Virtusa
566,codemeetupscommunity,meetupscommunity,3526000,exhibitionhall,"venue:32,food:23,av:8,marketing:12,logistics:27",Shangri-La
56,codeworkshopstraining,workshopstraining,176000,coworkingspace,"venue:25,speakers:30,equipment:14,food:12,av:14,marketing:4",Hatch
400,codecareernetworking,careernetworking,547000,auditorium,"venue:33,speakers:17,food:22,av:17,marketing:14",SLIIT
789,designmeetupscommunity,meetupscommunity,4901000,exhibitionhall,"venue:28,food:28,av:9,marketing:9,logistics:27",Shangri-La
584,aimeetupscommunity,meetupscommunity,744000,auditorium,"venue:27,food:26,av:11,marketing:9,logistics:26",NSBM
709,techmeetupscommunity,meetupscommunity,2355000,openspace,"venue:30,food:22,av:13,marketing:9,logistics:26",Nelum Pokuna
270,codecompetitionshackathons,competitionshackathons,434000,coworkingspace,"venue:19,speakers:13,prizes:29,food:21,av:13,marketing:6",Trace Expert City
1911,aiconferencesexpos,conferencesexpos,1349000,openspace,"venue:37,speakers:22,food:10,av:12,marketing:10,logistics:5",Galle Face
245,aimeetupscommunity,meetupscommunity,289000,auditorium,"venue:31,food:25,av:13,marketing:10,logistics:27",SLIIT
594,designcareernetworking,careernetworking,2911000,exhibitionhall,"venue:31,speakers:22,food:22,av:17,marketing:13",Shangri-La
966,techworkshopstraining,workshopstraining,1125000,openspace,"venue:22,speakers:28,equipment:17,food:13,av:14,marketing:8",Galle Face
1485,codeconferencesexpos,conferencesexpos,919000,openspace,"venue:37,speakers:28,food:13,av:17,marketing:10,logistics:6",Galle Face
266,designconferencesexpos,conferencesexpos,394000,auditorium,"venue:32,speakers:22,food:12,av:12,marketing:13,logistics:6",SLIIT
700,aicareernetworking,careernetworking,1561000,exhibitionhall,"venue:33,speakers:18,food:19,av:17,marketing:17",BMICH
69,aiconferencesexpos,conferencesexpos,184000,openspace,"venue:33,speakers:27,food:13,av:17,marketing:13,logistics:5",Colombo Innovation Tower
123,aimeetupscommunity,meetupscommunity,118000,auditorium,"venue:33,food:25,av:8,marketing:8,logistics:25",SLIIT
125,techworkshopstraining,workshopstraining,324000,openspace,"venue:23,speakers:27,equipment:16,food:10,av:12,marketing:4",Colombo Innovation Tower
453,codeworkshopstraining,workshopstraining,1209000,openspace,"venue:22,speakers:32,equipment:17,food:10,av:14,marketing:3",Galadari
1768,designworkshopstraining,workshopstraining,1741000,openspace,"venue:25,speakers:31,equipment:12,food:12,av:16,marketing:6",Galle Face
877,codecareernetworking,careernetworking,2963000,openspace,"venue:28,speakers:17,food:18,av:14,marketing:13",Nelum Pokuna
610,aitalkspanels,talkspanels,690000,openspace,"venue:30,speakers:22,food:19,av:16,marketing:15",Galle Face
56,codecompetitionshackathons,competitionshackathons,206000,openspace,"venue:22,speakers:13,prizes:28,food:17,av:18,marketing:2",Colombo Innovation Tower
648,codetalkspanels,talkspanels,3101000,openspace,"venue:30,speakers:19,food:21,av:18,marketing:18",Nelum Pokuna
107,codeconferencesexpos,conferencesexpos,66000,auditorium,"venue:33,speakers:27,food:7,av:16,marketing:8,logistics:6",UCSC
353,techcompetitionshackathons,competitionshackathons,1862000,exhibitionhall,"venue:21,speakers:11,prizes:31,food:20,av:17,marketing:8",Shangri-La
86,aimeetupscommunity,meetupscommunity,138000,coworkingspace,"venue:33,food:24,av:7,marketing:13,logistics:25",Gamers HQ
55,aiconferencesexpos,conferencesexpos,104000,studio,"venue:36,speakers:27,food:7,av:13,marketing:7,logistics:3",AOD
96,techworkshopstraining,workshopstraining,107000,coworkingspace,"venue:27,speakers:32,equipment:15,food:12,av:17,marketing:7",Gamers HQ
84,aiworkshopstraining,workshopstraining,105000,coworkingspace,"venue:25,speakers:29,equipment:14,food:9,av:18,marketing:2",Gamers HQ
1025,codecompetitionshackathons,competitionshackathons,4449000,openspace,"venue:21,speakers:10,prizes:30,food:20,av:15,marketing:2",Nelum Pokuna
86,techcareernetworking,careernetworking,96000,coworkingspace,"venue:33,speakers:17,food:22,av:14,marketing:13",Gamers HQ
70,codeworkshopstraining,workshopstraining,52000,auditorium,"venue:28,speakers:33,equipment:17,food:9,av:18,marketing:2",UCSC
129,techcareernetworking,careernetworking,18000,auditorium,"venue:32,speakers:23,food:19,av:18,marketing:14",Virtusa
357,codeconferencesexpos,conferencesexpos,566000,auditorium,"venue:36,speakers:23,food:13,av:12,marketing:8,logistics:8",SLIIT
122,techworkshopstraining,workshopstraining,248000,coworkingspace,"venue:28,speakers:33,equipment:13,food:13,av:18,marketing:7",Trace Expert City
72,techworkshopstraining,workshopstraining,142000,coworkingspace,"venue:22,speakers:29,equipment:12,food:12,av:12,marketing:2",Gamers HQ
180,techcareernetworking,careernetworking,191000,auditorium,"venue:33,speakers:21,food:20,av:13,marketing:14",SLIIT
258,codemeetupscommunity,meetupscommunity,318000,coworkingspace,"venue:33,food:27,av:12,marketing:13,logistics:27",Trace Expert City
102,codeconferencesexpos,conferencesexpos,292000,coworkingspace,"venue:33,speakers:24,food:7,av:15,marketing:12,logistics:8",Hatch
192,designcompetitionshackathons,competitionshackathons,414000,coworkingspace,"venue:19,speakers:8,prizes:27,food:23,av:17,marketing:2",Trace Expert City
845,aiworkshopstraining,workshopstraining,3934000,openspace,"venue:25,speakers:29,equipment:14,food:13,av:16,marketing:7",Nelum Pokuna
71,designmeetupscommunity,meetupscommunity,133000,coworkingspace,"venue:28,food:27,av:12,marketing:8,logistics:23",Gamers HQ
497,codemeetupscommunity,meetupscommunity,3025000,exhibitionhall,"venue:29,food:26,av:7,marketing:9,logistics:28",Shangri-La
183,designcompetitionshackathons,competitionshackathons,299000,coworkingspace,"venue:20,speakers:7,prizes:32,food:19,av:12,marketing:3",Trace Expert City
451,techmeetupscommunity,meetupscommunity,2868000,exhibitionhall,"venue:29,food:25,av:13,marketing:10,logistics:23",Shangri-La
154,techtalkspanels,talkspanels,516000,coworkingspace,"venue:32,speakers:17,food:21,av:14,marketing:14",Hatch
168,designtalkspanels,talkspanels,63000,auditorium,"venue:31,speakers:20,food:22,av:17,marketing:14",Virtusa
82,techworkshopstraining,workshopstraining,295000,openspace,"venue:23,speakers:29,equipment:14,food:11,av:14,marketing:2",Colombo Innovation Tower
212,designmeetupscommunity,meetupscommunity,26000,auditorium,"venue:31,food:25,av:11,marketing:9,logistics:23",Virtusa
835,techcareernetworking,careernetworking,2645000,openspace,"venue:30,speakers:19,food:21,av:16,marketing:15",Nelum Pokuna
1797,designcompetitionshackathons,competitionshackathons,1641000,openspace,"venue:19,speakers:10,prizes:32,food:19,av:15,marketing:7",Galle Face
105,codeconferencesexpos,conferencesexpos,263000,studio,"venue:34,speakers:23,food:13,av:18,marketing:11,logistics:3",AOD
1177,codetalkspanels,talkspanels,5327000,openspace,"venue:33,speakers:20,food:23,av:14,marketing:15",Nelum Pokuna
113,codetalkspanels,talkspanels,431000,openspace,"venue:28,speakers:20,food:19,av:13,marketing:13",Colombo Innovation Tower
542,aimeetupscommunity,meetupscommunity,2667000,exhibitionhall,"venue:30,food:27,av:8,marketing:13,logistics:25",Shangri-La
169,aiworkshopstraining,workshopstraining,64000,auditorium,"venue:25,speakers:33,equipment:14,food:12,av:13,marketing:4",UCSC
162,techmeetupscommunity,meetupscommunity,44000,auditorium,"venue:31,food:25,av:11,marketing:13,logistics:27",Virtusa
69,aicareernetworking,careernetworking,176000,openspace,"venue:31,speakers:22,food:18,av:16,marketing:14",Colombo Innovation Tower
257,codemeetupscommunity,meetupscommunity,281000,auditorium,"venue:28,food:27,av:13,marketing:13,logistics:26",SLIIT
59,codeworkshopstraining,workshopstraining,22000,auditorium,"venue:24,speakers:30,equipment:17,food:11,av:18,marketing:4",UCSC
284,techcompetitionshackathons,competitionshackathons,520000,coworkingspace,"venue:20,speakers:8,prizes:28,food:23,av:15,marketing:8",Trace Expert City
168,designcompetitionshackathons,competitionshackathons,131000,auditorium,"venue:19,speakers:9,prizes:28,food:22,av:18,marketing:5",UCSC
398,techconferencesexpos,conferencesexpos,1295000,openspace,"venue:36,speakers:22,food:12,av:16,marketing:7,logistics:5",Galadari
378,aitalkspanels,talkspanels,380000,auditorium,"venue:30,speakers:22,food:22,av:18,marketing:14",NSBM
86,designworkshopstraining,workshopstraining,40000,auditorium,"venue:23,speakers:33,equipment:12,food:10,av:14,marketing:2",UCSC
90,aiconferencesexpos,conferencesexpos,130000,coworkingspace,"venue:36,speakers:24,food:12,av:16,marketing:13,logistics:4",Gamers HQ
1991,aiworkshopstraining,workshopstraining,1013000,openspace,"venue:27,speakers:30,equipment:16,food:13,av:16,marketing:8",Galle Face
31,codeworkshopstraining,workshopstraining,46000,coworkingspace,"venue:28,speakers:31,equipment:15,food:9,av:18,marketing:4",Gamers HQ
72,aicareernetworking,careernetworking,211000,studio,"venue:30,speakers:18,food:19,av:16,marketing:13",AOD
365,designmeetupscommunity,meetupscommunity,470000,auditorium,"venue:30,food:25,av:8,marketing:12,logistics:24",SLIIT
